family,size,macs,n_params,flash_kb,threshold,n_seeds,recall_op,precision_op,precision_op_std,fpr_op,f1_op,roc_auc,pr_auc,pr_auc_std,recall_deploy,recall_deploy_std,precision_deploy,recall_05,precision_05,infer_us,feature_us,latency_ms,ram_kb,fits_flash,fits_ram,meets_latency,feasible,recall_holds
cnn,c4,4008.0,34,0.1328125,0.4703371822834015,5,0.9501100513573,0.1457103383091976,0.03274412734032281,0.7286970279127585,0.24695478057734024,0.8610850760377067,0.5151541622922061,0.11341097373666569,0.9670946441672781,0.02152422497491721,0.12272695522596568,0.8743580337490829,0.23334475500513976,887.8,0.0,0.8877999999999999,5.34765625,True,True,True,True,True
cnn,c8,8016.0,66,0.2578125,0.25519028306007385,5,0.9501100513573,0.15009205945407839,0.03489337652050608,0.7059012317776021,0.2560300514037169,0.8361977598058964,0.5412388038143592,0.07936665628921671,0.9781731474688188,0.022946287130259552,0.11274734430327016,0.5387013939838592,0.6579301075268817,1578.8,0.0,1.5788,5.34765625,True,True,True,True,True
cnn,c8-16,84832.0,13554,52.9453125,0.051178015768527985,5,0.9501100513573,0.1716797459874156,0.05112826579534213,0.6317595208498136,0.2849676798239582,0.8482189066465846,0.6348723067489128,0.02964980262710034,0.9654805575935438,0.026046366223707023,0.13457765256326407,0.7127659574468085,0.26589120766335955,19775.2,0.0,19.7752,5.34765625,True,True,True,True,True
cnn,c16-16,156832.0,14242,55.6328125,0.0926375463604927,5,0.9501100513573,0.1670345119262185,0.04459934369927741,0.6408181715448074,0.3051816066220874,0.8674839984654911,0.6265141671748838,0.026850984088161417,0.9593176815847396,0.03248667685631827,0.13434944988392045,0.671863536316948,0.3416340235030778,31053.9,0.0,31.053900000000002,5.34765625,True,True,True,True,True
cnn,c16-32-32,553664.0,33538,131.0078125,0.017004190012812614,5,0.9501100513573,0.15708156706635448,0.019846121874632153,0.6388834896598485,0.2659342351823806,0.8297097893432878,0.6480525265497088,0.019279027105629537,0.9602714600146735,0.018302084460365162,0.1588413129318855,0.6885546588407924,0.2399795435658122,99691.8,0.0,99.6918,5.34765625,True,True,True,True,True
cnn,c16-32-64-64,1345280.0,82882,323.7578125,0.0017939258832484484,5,0.9501100513573,0.12942450314226073,0.015003715847654505,0.7988789693750706,0.22080607003559324,0.8159141239581147,0.6286621209494443,0.016633137310696582,0.8819148936170211,0.0482648222206645,0.13033526673082424,0.7035950110051358,0.31929415681704676,238623.8,0.0,238.6238,5.34765625,True,True,False,False,False
crnn,c8_h8,59216.0,642,2.5078125,0.1345105767250061,5,0.9501100513573,0.1282944779988364,0.01312613634120957,0.8047372584472822,0.22189380796333183,0.8393181035995877,0.4255557874992116,0.09250779114183107,0.9833822450476889,0.01732104104855986,0.11221820899240253,0.747982391782832,0.39370534852288086,nan,0.0,nan,nan,True,True,,True,True
crnn,c8_h16,161632.0,1746,6.8203125,0.08265452831983566,5,0.9501100513573,0.12008839867851026,0.004894462682640782,0.8594191434060345,0.20860600447012867,0.8168050312958418,0.4466599344143985,0.053934041322257695,0.973294203961849,0.014166117280529165,0.11571648690292759,0.7577035950110051,0.33098309430334105,nan,0.0,nan,nan,True,True,,True,True
crnn,c16_h16,220832.0,2306,9.0078125,0.11162467300891876,5,0.9501100513573,0.12362022871369964,0.010733845305341742,0.8367860775228839,0.208711068133285,0.7838430019367083,0.47770351282341333,0.06288473210437175,0.9778796771826853,0.025904987205271856,0.12132546875749292,0.7309244314013206,0.2599308590437675,nan,0.0,nan,nan,True,True,,True,True
crnn,c16-32_h16,425632.0,5922,23.1328125,0.02349780686199665,5,0.9501100513573,0.13590231145640538,0.011875226433157728,0.7511764041134592,0.24260022480329713,0.8223499581757583,0.5821809106190866,0.03360339052419791,0.9453411592076304,0.01682022583231943,0.13731538360998563,0.6977256052824652,0.3239100817438692,nan,0.0,nan,nan,True,True,,True,False
